🌟 4K超高清,#genre#
北京卫视4K,http://113.249.13.24:8901/rtp/235.254.197.50:7980
东方卫视4K,http://113.249.13.24:8901/rtp/235.254.197.190:7980
广东卫视4K,http://113.249.13.24:8901/rtp/235.254.197.55:7980
深圳卫视4K,http://113.249.13.24:8901/rtp/235.254.197.56:7980
湖南卫视4K,http://113.249.13.24:8901/rtp/235.254.197.196:7980
湖南卫视4K,http://113.249.13.24:8901/rtp/235.254.197.52:7980
山东卫视4K,http://113.249.13.24:8901/rtp/235.254.197.195:7980
四川卫视4K,http://113.249.13.24:8901/rtp/235.254.197.197:7980
浙江卫视4K,http://113.249.13.24:8901/rtp/235.254.197.194:7980
江苏卫视4K,http://113.249.13.24:8901/rtp/235.254.197.191:7980
华数电影4K,http://113.249.13.24:8901/rtp/235.254.198.102:7980
华数电影4K,http://113.249.13.24:8901/rtp/235.254.199.102:7980
电影4,http://113.249.13.24:8901/rtp/235.254.199.95:7980

📺 央视高清,#genre#
CCTV1,http://113.249.13.24:8901/rtp/235.254.199.51:7980
CCTV1,http://113.249.13.24:8901/rtp/235.254.197.250:7980
CCTV1,http://113.249.13.24:8901/rtp/235.254.199.147:7980
CCTV1,http://113.249.13.24:8901/rtp/235.254.199.92:7980
CCTV2,http://113.249.13.24:8901/rtp/235.254.199.52:7980
CCTV3,http://113.249.13.24:8901/rtp/235.254.199.53:7980
CCTV4,http://113.249.13.24:8901/rtp/235.254.198.183:7980
CCTV4,http://113.249.13.24:8901/rtp/235.254.199.183:7980
CCTV5,http://113.249.13.24:8901/rtp/235.254.199.54:7980
CCTV5,http://113.249.13.24:8901/rtp/235.254.199.146:7980
CCTV5+,http://113.249.13.24:8901/rtp/235.254.199.121:7980
CCTV6,http://113.249.13.24:8901/rtp/235.254.199.55:7980
CCTV7,http://113.249.13.24:8901/rtp/235.254.199.56:7980
CCTV8,http://113.249.13.24:8901/rtp/235.254.199.57:7980
CCTV9,http://113.249.13.24:8901/rtp/235.254.199.58:7980
CCTV10,http://113.249.13.24:8901/rtp/235.254.199.59:7980
CCTV11,http://113.249.13.24:8901/rtp/235.254.197.161:7980
CCTV12,http://113.249.13.24:8901/rtp/235.254.199.60:7980
CCTV13,http://113.249.13.24:8901/rtp/235.254.197.162:7980
CCTV14,http://113.249.13.24:8901/rtp/235.254.199.61:7980
CCTV15,http://113.249.13.24:8901/rtp/235.254.197.163:7980
CCTV17,http://113.249.13.24:8901/rtp/235.254.198.130:7980
